country,date,confirmed,deaths,recovered,confirmed_diff,deaths_diff,recovered_diff,last_update,active,active_diff,fatality_rate,region,country_name
BEL,2023-03-09,766206,0,0,1935,0,0,2023-03-10 04:21:03,766206,1935,0.0,"{'iso': 'BEL', 'name': 'Belgium', 'province': 'Antwerp', 'lat': '51.2195', 'long': '4.4024', 'cities': []}",België
BEL,2023-03-09,505467,0,0,544,0,0,2023-03-10 04:21:03,505467,544,0.0,"{'iso': 'BEL', 'name': 'Belgium', 'province': 'Brussels', 'lat': '50.8503', 'long': '4.3517', 'cities': []}",België
BEL,2023-03-09,645338,0,0,2250,0,0,2023-03-10 04:21:03,645338,2250,0.0,"{'iso': 'BEL', 'name': 'Belgium', 'province': 'East Flanders', 'lat': '51.0362', 'long': '3.7373', 'cities': []}",België
BEL,2023-03-09,464722,0,0,1252,0,0,2023-03-10 04:21:03,464722,1252,0.0,"{'iso': 'BEL', 'name': 'Belgium', 'province': 'Flemish Brabant', 'lat': '50.9167', 'long': '4.5833', 'cities': []}",België
BEL,2023-03-09,519111,0,0,864,0,0,2023-03-10 04:21:03,519111,864,0.0,"{'iso': 'BEL', 'name': 'Belgium', 'province': 'Hainaut', 'lat': '50.5257', 'long': '4.0621', 'cities': []}",België
BEL,2023-03-09,419029,0,0,685,0,0,2023-03-10 04:21:03,419029,685,0.0,"{'iso': 'BEL', 'name': 'Belgium', 'province': 'Liege', 'lat': '50.4496', 'long': '5.8492', 'cities': []}",België
BEL,2023-03-09,351474,0,0,1087,0,0,2023-03-10 04:21:03,351474,1087,0.0,"{'iso': 'BEL', 'name': 'Belgium', 'province': 'Limburg', 'lat': '50.9739', 'long': '5.3420000000000005', 'cities': []}",België
BEL,2023-03-09,122942,0,0,185,0,0,2023-03-10 04:21:03,122942,185,0.0,"{'iso': 'BEL', 'name': 'Belgium', 'province': 'Luxembourg', 'lat': '50.0547', 'long': '5.4677', 'cities': []}",België
BEL,2023-03-09,202905,0,0,387,0,0,2023-03-10 04:21:03,202905,387,0.0,"{'iso': 'BEL', 'name': 'Belgium', 'province': 'Namur', 'lat': '50.331', 'long': '4.8221', 'cities': []}",België
BEL,2023-03-09,63364,33814,0,90,39,0,2023-03-10 04:21:03,29550,51,0.5336,"{'iso': 'BEL', 'name': 'Belgium', 'province': 'Unknown', 'lat': None, 'long': None, 'cities': []}",België
BEL,2023-03-09,173827,0,0,242,0,0,2023-03-10 04:21:03,173827,242,0.0,"{'iso': 'BEL', 'name': 'Belgium', 'province': 'Walloon Brabant', 'lat': '50.4', 'long': '4.35', 'cities': []}",België
BEL,2023-03-09,504980,0,0,2049,0,0,2023-03-10 04:21:03,504980,2049,0.0,"{'iso': 'BEL', 'name': 'Belgium', 'province': 'West Flanders', 'lat': '51.0536', 'long': '3.1458', 'cities': []}",België
DNK,2023-03-09,3404407,8296,0,139,4,0,2023-03-10 04:21:03,3396111,135,0.0024,"{'iso': 'DNK', 'name': 'Denmark', 'province': '', 'lat': '56.2639', 'long': '9.5018', 'cities': []}",Denemarken
DNK,2023-03-09,34658,28,0,0,0,0,2023-03-10 04:21:03,34630,0,0.0008,"{'iso': 'DNK', 'name': 'Denmark', 'province': 'Faroe Islands', 'lat': '61.8926', 'long': '-6.9118', 'cities': []}",Denemarken
